method,dataset,shape,k,elapsed_time_s,peak_memory_mib,reconstruction_error,energy_captured,cond_full,cond_trunc,file,batch_size
Full SVD,slp.nc,"[16261, 16071]",10,1107.3296983242035,17780.96875,2068757.375,0.9999984502792358,3680575488.0,2293.06982421875,full_svd_k10.jsonl,
Economy SVD,slp.nc,"[16261, 16071]",10,1120.7144243717194,17775.1171875,2068757.375,0.9999984502792358,3680575488.0,2293.06982421875,economy_svd_k10.jsonl,
QR‑Based SVD,slp.nc,"[16261, 16071]",10,655.495187997818,6344.38671875,2068756.75,0.9999984502792358,3525701120.0,2293.070068359375,qr_svd_k10.jsonl,
Truncated SVD,slp.nc,"[16261, 16071]",10,3.3546559810638428,2241.7421875,2068758.25,1.089472770690918,none,2293.0693359375,truncated_svd_k10.jsonl,
Randomized SVD,slp.nc,"[16261, 16071]",10,1.990964412689209,1234.421875,2068759.25,1.0,2293.0693359375,2293.0693359375,randomized_svd_k10.jsonl,
Streaming SVD,slp.nc,"[16261, 16071]",10,8.098215103149414,1240.21875,2081826.875,1.0020482540130615,2385.95849609375,2385.95849609375,streaming_svd_k10_ff95.jsonl,
PyParSVD (serial),slp.nc,"[16261, 16071]",10,13.557955980300903,1253.87890625,2098938.5,0.0675780177116394,,2414.977783203125,pyparsvd_k10_ff95.jsonl,100.0
Randomized SVD,slp.nc,"[16261, 16071]",50,2.404245138168335,1245.7109375,885537.5,1.0,12152.146484375,12152.146484375,randomized_svd_k50.jsonl,
Truncated SVD,slp.nc,"[16261, 16071]",50,3.7006990909576416,2253.015625,885470.875,1.089474320411682,none,12152.146484375,truncated_svd_k50.jsonl,
Streaming SVD,slp.nc,"[16261, 16071]",50,10.21946907043457,1257.69921875,899874.125,1.0020331144332886,13022.970703125,13022.970703125,streaming_svd_k50_ff95.jsonl,
Streaming SVD,slp.nc,"[16261, 16071]",50,10.521715641021729,1259.18359375,899874.125,1.0,13022.970703125,13022.970703125,streaming_svd_k50_ff95.jsonl,
PyParSVD (serial),slp.nc,"[16261, 16071]",50,19.608675241470337,1281.69921875,917097.5625,0.0675781145691871,,13245.5751953125,pyparsvd_k50_ff95.jsonl,100.0
QR‑Based SVD,slp.nc,"[16261, 16071]",50,666.0402834415436,6343.2421875,885365.5625,0.999999701976776,3525701120.0,12125.0048828125,qr_svd_k50.jsonl,
Full SVD,slp.nc,"[16261, 16071]",50,1165.93265748024,17770.33984375,885365.75,0.999999701976776,3680575488.0,12141.111328125,full_svd_k50.jsonl,
Economy SVD,slp.nc,"[16261, 16071]",50,1180.0315837860107,17775.73828125,885365.75,0.999999701976776,3680575488.0,12141.111328125,economy_svd_k50.jsonl,
Randomized SVD,slp.nc,"[16261, 16071]",200,5.772809267044067,1299.57421875,394578.4375,1.0,52895.56640625,52895.56640625,randomized_svd_k200.jsonl,
Truncated SVD,slp.nc,"[16261, 16071]",200,6.1477460861206055,2291.1953125,394378.375,1.089474320411682,52895.56640625,52895.56640625,truncated_svd_k200.jsonl,
Streaming SVD,slp.nc,"[16261, 16071]",200,17.65772032737732,1314.76171875,410496.40625,1.0,54841.296875,54841.296875,streaming_svd_k200_ff95.jsonl,
Streaming SVD,slp.nc,"[16261, 16071]",200,18.264598608016968,1314.41796875,396530.46875,1.0,51783.03125,51783.03125,streaming_svd_k200.jsonl,
PyParSVD (serial),slp.nc,"[16261, 16071]",200,43.130051612854,1390.64453125,429142.90625,0.0675781294703483,,61821.078125,pyparsvd_k200_ff95.jsonl,100.0
QR‑Based SVD,slp.nc,"[16261, 16071]",200,689.8432464599609,6341.984375,395752.125,1.0,3525701120.0,51655.3828125,qr_svd_k200.jsonl,
Economy SVD,slp.nc,"[16261, 16071]",200,1181.658658742905,17729.109375,393924.625,1.0,3680575488.0,51707.05078125,economy_svd_k200.jsonl,
full SVD,msl,,200,1294.170155763626,17808.828125,393924.625,1.0,,,full_svd_k200.jsonl,
full SVD,msl,,16071,1157.7067551612854,17774.73046875,698.8065795898438,1.0,,,Economy_svd k16071.jsonl,
full SVD,msl,,16071,1173.6379568576813,17821.921875,698.8065795898438,1.0,,,full_svd k16071.jsonl,
streaming SVD,msl,,16071,30375.907480478287,21843.86328125,1658236544.0,1.0,,,streaming_svd k16071.jsonl,
